GlobalID,Unwanted,ProductTitleNL,ProductDescriptionNL,BrickName,ChunkName,BrandName,LabelName,Colour,Ingredients,Material,MaterialDescription,NumberOfPieces,NumberOfProductsInPackage,PackageHeight,PackageHeightUnit,PackageLength,PackageLengthUnit,PackageWeight,PackageWeightUnit,PackageWidth,PackageWidthUnit,ProductHeight,ProductHeightUnit,ProductLength,ProductLengthUnit,ProductWeight,ProductWeightUnit,ProductWidth,ProductWidthUnit,image_url
9300000005528663,Y,Luxe Ginder- Zwart,"4-delig grinder (51mm diameter).
Deze grinder heeft glazen zij kanten zo dat je de kief voorraad kan zien groeien .
Zwart/Zilver/Rood.",Rookaccessoires,Accessoire voor sigaretten,DeSmokerShop,,Zwart,,Metaal,,,,3.2,unece.unit.CMT,20.0,unece.unit.CMT,163.0,unece.unit.GRM,12.0,unece.unit.CMT,,,54.0,unece.unit.MMT,163.0,unece.unit.GRM,55.0,unece.unit.MMT,
9200000084514785,N,Jacob Hooy Valeriaanwortel gemalen,Jacob Hooy Valeriaanwortel gemalen,Keuken Snij-/Rasp-/Haktoestellen,Keukenmolen,Jacob Hooy,,Wit,,Katoen,,,,,,,,,,,,,,,,,,,,https://media.s-bol.com/rKDm6QRKPNB/168x104.jpg
9200000061877999,Y,SOG Bladelight Fixed Blade,<p> SOG Bladelight Folder Uniek zakmes met verlichting!<br />6 felle LED lampjes verlichten het snijvlak of zijn gewoon handig als zaklamp.<br />Compleet met AAA batterij en etui. </p> KleurZwart met grijsHardheid57RcTotale lengte23.5 cmLengte lemmet11.5 cmModel lemmetClip PointLengte handgreep11.3 cmMateriaal handgreepGlass-Reinforced NylonStaalsoort8Cr13MoVAantal batterijen1Soort batterijenAA AlkalineBrandduur lamp2 uurSoort lampLEDLichtopbrengst30 lumenEtuiNylon,Hobbymessen (Niet-elektrisch),Zakmes,SOG,,,,,,,,,,,,,,,,,,,,,,,,https://media.s-bol.com/gJYZjkjnlODD/168x72.jpg
9300000004165840,N,"Nedis CCBW39300WT20 Data- En Oplaadkabel Apple Lightning 8-pins Male - Usb A Male 2,0 M Wit","Kabel om een iPhone, iPad of iPod te verbinden met een PC om data te verzenden en te laden.<br /><ul><li>AWG-waarde: 30 / 22</li><li>Conductormateriaal: Koper</li><li>Connectie A: Apple Lightning</li><li>Connectie B: USB A Male</li><li>Connectordesign - kant A: Recht</li><li>Connectordesign - Kant B: Recht</li><li>Diameter: 3.1 mm</li><li>Kabelontwerp: Rond</li><li>Kleur: Wit</li><li>Lengte: 2.00 m</li><li>Materiaal buitenkant: PVC</li><li>Type connectorplating: Nikkel</li><li>Type kabel: Apple Lightning 8-Pins</li></ul>",Opladers,Batterijoplader,Nedis,,Wit,,,,,1.0,,,,,,,,,,,,,,,,,https://media.s-bol.com/q73zJR535GnD/168x132.jpg
9200000063108509,Y,Cold Steel Two Handed Latin,<p> Two handed Latin Machete.<br />dubbelhandig te gebruiken voor het zwaardere kapwerk. </p> KleurZwart Hardheid57Rc Totale lengte74.5 cm Model lemmetTanto Point Materiaal handgreepKunststof StaalsoortNiet roestvrij-Carbons Staal,Hobbymessen (Niet-elektrisch),Zakmes,Cold Steel,,,,,,,,,,,,,,,,,,,,,,,,https://media.s-bol.com/BxOO1Xq5wGk/168x123.jpg
9300000005103454,Y,Joint Roller 110mm | Sigaretten Roller Machine | Cone Roller | Zwart,Met deze cone roller wordt het draaien van joints en sigaretten makkelijk gemaakt. De cone roller is 110mm lang waardoor hij geschikt is voor zowel lange als korte vloeitjes. Met de joint roller bereik je een resultaat dat met de originele manier van rollen niet bereikt kan worden. De roller zorgt keer op keer voor een perfect resultaat. Het rollen van een joint of sigaret was nog nooit zo makkelijk en snel.<br /><br />Je ontvangt een zwarte cone roller inclusief een handleiding. Je bestelling wordt goed beschermd verpakt en verzonden.,Rookaccessoires,Accessoire voor sigaretten,FestiLovers,,Zwart,,Kunststof,,,,30.0,unece.unit.MMT,30.0,unece.unit.MMT,57.0,unece.unit.GRM,110.0,unece.unit.MMT,,,110.0,unece.unit.MMT,57.0,unece.unit.GRM,110.0,unece.unit.MMT,https://media.s-bol.com/NLPGDo1Lq4pK/168x127.jpg
9200000108576944,N,PULUZ Digitale camera Batterij-oplader voor Canon LP-E5 Batterij,"<p> 1. Met het ontwerp van autoadapter, de input van gelijkstroom 12-24V, kan ook AC adapter gebruiken (niet inbegrepen), 100-240V 50 / 60Hz wereldwijd inputvoltage, 150mA maximum inputstroom; 4.2V (8.4V) 600mAh-uitvoer.<br />2. Oplaadindicator groene lampjes voor stand-by, rood is voor opladen. Dat kan overbelasting en overontlading voorkomen.<br />3. Ruimtebesparend en kostenbesparend, handig voor uw reis, bedrijf en alle buitenactiviteiten.<br />4. Snelle lading met automatische constante stroomcontrole voorkomt dat de batterij wordt overladen, kortsluiting en elektronische schokken.<br />5. Volledig compatibel met Canon LP-E5 originele batterij en oplaadbare batterij.<br />6. Geschikt voor Canon EOS 1000D (Rebel XS / Kiss F), Canon EOS 450D, Canon EOS 500D digitale camera's. </p>",Opladers,Batterijoplader,Merkloos / Sans marque,,Geen,,,,,1.0,,,,,,,,,,,,,,,,,https://media.s-bol.com/pKOL9q6Dx2V/168x174.jpg
9200000082253100,N,101 Inc Embleem 3D Pvc Tireur D'Elite Groen  11128,EMBLEEM 3D PVC TIREUR D'ELITE GROEN  11128<br /><br />Airsoft Embleem PVC met klitteband aan de achterzijde<br /><br />,Buiten/Tuin Speelgoed,Schietspeelgoedaccessoires,101 inc,,,,,,,,,,,,,,,,,,,,,,,,
9200000104555287,Y,Casstrom Woodsman Bog Oak met Firesteel,"Klassiek Bushcraft mes door Roger Harrington ontworpen. Gemaakt van 4mm K720 carbon staal. Full tang lemmet met 9cm lang Scandi grind snijvlak. Hardheid 58-60HRC. Het heft is van prachtig Bog Oak. Compleet met firesteel! Totale lengte 20,5cm.",Hobbymessen (Niet-elektrisch),Zakmes,Casstrom,,Bruin,,Staal,,,,,,,,,,,,0.0,unece.unit.CMT,0.0,unece.unit.CMT,280.0,unece.unit.KGM,0.0,unece.unit.CMT,https://media.s-bol.com/ml3RWxWZEon/168x65.jpg
9300000003613297,Y,Grindercard Roaring Lion,Grindercard Roaring Lion.<br />Herbgrinder.<br />Tabak grinder.<br />Verpakt in handige sleeve.<br />Past in een pakje sigaretten.,Rookaccessoires,Accessoire voor sigaretten,V-Syndicate,,goud zilver,,Metaal,,,,1.0,unece.unit.CMT,10.0,unece.unit.CMT,20.0,unece.unit.GRM,5.0,unece.unit.CMT,,,8.0,unece.unit.CMT,20.0,unece.unit.GRM,4.0,unece.unit.CMT,https://media.s-bol.com/q70oLyWnoVx7/168x115.jpg
